Local,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface of plot of land,Numbers of facades,Swimming pool,State of building
|,Stellar,None,"€326,025",None,None,None,No,No,No,No,No,None,None,None,No,None
Landen,Stelhain,None,"€331,526",None,None,None,No,No,No,No,No,None,None,None,No,None
Jambes,"""Les",None,"€335,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Lier,Woonproject,None,"€336,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Ethe,Maisons,None,"€342,500",None,None,None,No,No,No,No,No,None,None,None,No,None
Koningslo,House,None,"€345,000",None,3,134m²squaremeters,Yes,No,No,No,No,134m²squaremeters,172m²squaremeters,2,Yes,Tobedoneup
Ronse,Villa,None,"€345,000",None,3,172m²squaremeters,Yes,Yes,No,No,No,172m²squaremeters,871m²squaremeters,4,No,Torenovate
Vilvoorde,House,None,"€349,000",None,3,129m²squaremeters,Yes,Yes,No,Yes,No,129m²squaremeters,145m²squaremeters,2,Yes,Good
Beaumont,Villa,None,"€350,000",None,3,144m²squaremeters,Yes,Yes,No,No,No,144m²squaremeters,2366m²squaremeters,4,Yes,Asnew
Wavre,Villa,None,Make,None,3,110m²squaremeters,Yes,Yes,No,No,No,110m²squaremeters,620m²squaremeters,4,Yes,Good
Dendermonde,Duerinckhof,None,"€365,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Kontich,New,None,"€366,500",None,None,None,No,No,No,No,No,None,None,None,No,None
Walhain,Chapelle,None,"€371,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Tubize,House,None,Make,None,4,160m²squaremeters,Yes,Yes,No,No,No,160m²squaremeters,392m²squaremeters,3,No,Asnew
Ronse,Villa,None,"€375,000",None,3,150m²squaremeters,Yes,Yes,No,No,No,150m²squaremeters,1322m²squaremeters,4,Yes,Good
Crisnee,House,None,"€380,000",None,4,198m²squaremeters,Yes,Yes,No,Yes,No,198m²squaremeters,1513m²squaremeters,4,Yes,Good
Lasne,Villa,None,Make,None,4,166m²squaremeters,Yes,Yes,No,No,No,166m²squaremeters,1000m²squaremeters,4,No,Tobedoneup
Olen,Grensstraat,None,"€387,548",None,None,None,No,No,No,No,No,None,None,None,No,None
|,Tiegem,None,"€392,500",None,None,None,No,No,No,No,No,None,None,None,No,None
Huy,Exceptional,None,Make,None,5,400m²squaremeters,Yes,Yes,No,Yes,No,400m²squaremeters,603m²squaremeters,4,Yes,Asnew
Seneffe,House,None,"€395,000",None,4,380m²squaremeters,Yes,Yes,No,No,No,380m²squaremeters,3145m²squaremeters,4,No,Good
Oud-Heverlee,Town-house,None,"€396,000",None,3,198m²squaremeters,Yes,Yes,No,No,No,198m²squaremeters,269m²squaremeters,3,No,Good
Ninove,House,None,"€399,000",None,3,190m²squaremeters,Yes,No,No,Yes,No,190m²squaremeters,472m²squaremeters,4,No,Asnew
|,'t,None,"€403,700",None,None,None,No,No,No,No,No,None,None,None,No,None
Céroux-Mousty,House,None,"€410,000",None,3,147m²squaremeters,Yes,No,No,No,No,147m²squaremeters,878m²squaremeters,4,No,Good
Sint-Pieters-Leeuw,House,None,"€410,000",None,2,130m²squaremeters,Yes,Yes,No,No,No,130m²squaremeters,250m²squaremeters,3,Yes,Asnew
|,Pré,None,"€412,000",None,None,None,No,No,No,No,No,None,None,None,No,None
|,SASPARK,None,"€412,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Kapellen,Vloeiende,None,"€417,000",None,None,None,No,No,No,No,No,None,None,None,No,None
|,Chateau,None,"€420,000",None,None,None,No,No,No,No,No,None,None,None,No,None
FIZE-FONTAINE,House,None,"€425,000",None,4,330m²squaremeters,Yes,Yes,No,Yes,No,330m²squaremeters,893m²squaremeters,2,No,Asnew
Dilbeek,House,None,"€438,000",None,4,217m²squaremeters,Yes,Yes,No,No,No,217m²squaremeters,175m²squaremeters,2,No,Good
Dilbeek,Mixed-use,None,"€438,000",None,4,217m²squaremeters,Yes,Yes,No,No,No,217m²squaremeters,175m²squaremeters,2,No,Good
Limelette,Villa,None,"€440,000",None,3,120m²squaremeters,Yes,Yes,No,No,No,120m²squaremeters,752m²squaremeters,4,Yes,Good
Geer,Villa,None,"€440,000",None,4,210m²squaremeters,Yes,Yes,No,No,No,210m²squaremeters,2417m²squaremeters,4,No,Good
Molenbeek-Saint-Jean,House,None,"€449,000",None,4,137m²squaremeters,Yes,No,No,No,No,137m²squaremeters,68m²squaremeters,2,No,Asnew
Laeken,House,None,"€450,000",None,3,150m²squaremeters,Yes,Yes,No,No,No,150m²squaremeters,131m²squaremeters,2,Yes,Good
